N_unmapped	1660303	1660303	1660303
N_multimapping	21935005	21935005	21935005
N_noFeature	2485363	2486797	3476189
N_ambiguous	19838	19662	48
gene-ECs_R0001	7530	7513	20
gene-ECs_R0024	4	4	0
gene-ECs_R0025	5	5	0
gene-ECs_R0002	39062	38968	102
gene-ECs_R0003	2474	2452	24
gene-ECs_R0026	63	63	0
gene-ECs_R0027	12	12	0
gene-ECs_R0028	145	44	101
gene-ECs_R0030	17	6	11
gene-ECs_R0031	952	952	0
gene-ECs_R0032	745	744	1
gene-ECs_R0033	353	350	3
gene-ECs_R0034	25	25	0
gene-ECs_R0035	45	43	2
gene-ECs_R0036	25	23	3
gene-ECs_R0037	33	29	4
gene-ECs_R0038	74	74	0
gene-ECs_R0039	3	3	0
gene-ECs_R0040	14	14	0
gene-ECs_R0041	21	21	0
gene-ECs_R0042	18	18	0
gene-ECs_R0043	5	5	0
gene-ECs_R0044	12	7	5
gene-ECs_R0045	0	0	0
gene-ECs_R0046	0	0	0
gene-ECs_R0047	0	0	0
gene-ECs_R0048	67	66	1
gene-ECs_R0049	0	0	0
gene-ECs_R0050	0	0	0
gene-ECs_R0051	1	1	0
gene-ECs_R0052	7	7	0
gene-ECs_R0053	10	10	0
gene-ECs_R0054	27	27	0
gene-ECs_R0055	0	0	0
gene-ECs_R0056	0	0	0
gene-ECs_R0057	0	0	0
gene-ECs_R0058	0	0	0
gene-ECs_R0059	0	0	0
gene-ECs_R0060	0	0	0
gene-ECs_R0061	0	0	0
gene-ECs_R0062	0	0	0
gene-ECs_R0063	0	0	0
gene-ECs_R0064	22	22	0
gene-ECs_R0065	52	52	0
gene-ECs_R0066	30	30	0
gene-ECs_R0067	36	36	0
gene-ECs_R0068	85	85	0
gene-ECs_R0069	0	0	0
gene-ECs_R0070	0	0	0
gene-ECs_R0071	0	0	0
gene-ECs_R0072	131	15	116
gene-ECs_R0073	143	140	3
gene-ECs_R0074	3	3	0
gene-ECs_R0075	36	35	1
gene-ECs_R0076	14	11	3
gene-ECs_R0077	61	62	1
gene-ECs_R0078	7	5	4
gene-ECs_R0079	19	19	0
gene-ECs_R0080	42	42	0
gene-ECs_R0081	62	62	0
gene-ECs_R0082	59	59	0
gene-ECs_R0083	19	19	0
gene-ECs_R0084	4	1	5
gene-ECs_R0004	1233	1226	9
gene-ECs_R0005	268599	268398	225
gene-ECs_R0085	40	40	0
gene-ECs_R0006	192561	192334	234
gene-ECs_R0023	31083	31049	123
gene-ECs_R0086	0	0	0
gene-ECs_R0087	71	71	0
gene-ECs_R0088	48	48	0
gene-ECs_R0089	57	57	0
gene-ECs_R0090	13	13	0
gene-ECs_R0091	603	603	0
gene-ECs_R0092	25	20	5
gene-ECs_R0093	8	7	1
gene-ECs_R0094	26	22	4
gene-ECs_R0095	84	84	0
gene-ECs_R0096	12	12	0
gene-ECs_R0097	3	1	3
gene-ECs_R0098	107	104	3
gene-ECs_R0099	185	183	2
gene-ECs_R0007	390320	389973	352
gene-ECs_R0100	178	178	0
gene-ECs_R0008	519	518	3
gene-ECs_R0009	24361	24365	75
gene-ECs_R0101	16	16	0
gene-ECs_R0102	5	5	0
gene-ECs_R0010	5330	5311	28
gene-ECs_R0103	32	32	0
gene-ECs_R0104	31	31	0
gene-ECs_R0011	458	455	10
gene-ECs_R0105	1	1	0
gene-ECs_R0012	1208	1205	8
gene-ECs_R0013	59	56	3
gene-ECs_R0106	3	3	0
gene-ECs_R0107	135	129	6
gene-ECs_R0108	226	225	3
gene-ECs_R0109	176	177	0
gene-ECs_R0110	0	0	0
gene-ECs_R0111	0	0	0
gene-ECs_R0112	0	0	0
gene-ECs_R0113	87	87	0
gene-ECs_R0014	10	10	0
gene-ECs_R0114	4	4	0
gene-ECs_R0115	2	1	1
gene-ECs_R0015	11	11	0
gene-ECs_R0016	0	0	0
gene-ECs_R0017	3	3	0
gene-ECs_R0116	0	0	0
gene-ECs_R0018	78	78	0
gene-ECs_R0019	4	4	0
gene-ECs_R0117	46	46	1
gene-ECs_R0118	73	73	0
gene-ECs_R0119	152	152	0
gene-ECs_R0120	112	110	2
gene-ECs_R0020	160	157	3
gene-ECs_R0121	3	3	0
gene-ECs_R0021	1212	1213	3
gene-ECs_R0022	76	79	0
gene-ECs_R0122	3	3	0
gene-ECs_R0123	74	74	0
gene-ECs_R0124	11	11	0
gene-ECs_R0125	5	4	1
gene-ECs_R0126	26	26	0
gene-ECs_R0127	14	13	2
