126
227105	228642	1	0	0
228712	228788	1	1	1
228831	228906	1	2	2
229092	231991	1	3	3
232089	232199	1	4	4
232257	232333	1	5	5
240481	240557	1	6	6
299982	300057	1	7	7
657182	657258	1	8	8
776591	776665	2	9	9
776703	776777	2	10	10
776826	776902	2	11	11
776918	776992	2	12	12
777027	777101	2	13	13
777125	777209	2	14	14
777220	777296	2	15	15
864979	865054	1	16	16
865090	865165	1	17	17
865168	865243	1	18	18
865295	865370	1	19	19
865374	865449	1	20	20
865596	865671	1	21	21
1056961	1057048	2	22	22
1179418	1179493	1	23	23
1179501	1179577	1	24	24
1179591	1179667	1	25	25
1210887	1210974	2	26	26
1266764	1266839	1	27	27
1266849	1266925	1	28	28
1266939	1267015	1	29	29
1456845	1456932	2	30	30
1732425	1732509	2	31	31
1732719	1732803	2	32	32
1774078	1774153	1	33	33
1774234	1774310	1	34	34
1940704	1940779	1	35	35
1940880	1940956	1	36	36
2189650	2189726	2	37	37
2189827	2189902	2	38	38
2240621	2240697	2	39	39
2240711	2240787	2	40	40
2240795	2240870	2	41	41
2346282	2346358	1	42	42
2346363	2346439	1	43	43
2614223	2614309	2	44	44
2614322	2614395	2	45	45
2614449	2614524	2	46	46
2697892	2697968	2	47	47
2697982	2698058	2	48	48
2698066	2698141	2	49	49
2712171	2712260	2	50	50
2713252	2713327	1	51	51
2727633	2727708	2	52	52
2729457	2729532	1	53	53
2731865	2731940	1	54	54
3021275	3021351	1	55	55
3193041	3193115	1	56	56
3244957	3245032	2	57	57
3245072	3245147	2	58	58
3249594	3249669	1	59	59
3249714	3249789	1	60	60
3249836	3249911	1	61	61
3249916	3249991	1	62	62
3446403	3446513	2	63	63
3446611	3449510	2	64	64
3449706	3449781	2	65	65
3449868	3451405	2	66	66
3475734	3476096	1	67	67
3508073	3508148	2	68	68
3542068	3542144	2	69	69
3542247	3542323	2	70	70
3542386	3542462	2	71	71
3542527	3542603	2	72	72
3542607	3542699	2	73	73
3669913	3669989	1	74	74
3670023	3670099	1	75	75
3670133	3670209	1	76	76
3737440	3737513	2	77	77
3852086	3852161	1	78	78
3955256	3955331	1	79	79
4060838	4060914	2	80	80
4064697	4064783	2	81	81
4158560	4158670	2	82	82
4158712	4158787	2	83	83
4158805	4158915	2	84	84
4159013	4161912	2	85	85
4162098	4162173	2	86	86
4162216	4162292	2	87	87
4162362	4163899	2	88	88
4450563	4450639	2	89	89
4580893	4580987	1	90	90
4735379	4736916	1	91	91
4737003	4737078	1	92	92
4737274	4740175	1	93	93
4740273	4740383	1	94	94
4740441	4740517	1	95	95
4740526	4740601	1	96	96
4775906	4775982	1	97	97
4776041	4776116	1	98	98
4776137	4776223	1	99	99
4776266	4776340	1	100	100
4776363	4776449	1	101	101
4776492	4776568	1	102	102
4831783	4833320	1	103	103
4833390	4833466	1	104	104
4833509	4833584	1	105	105
4833770	4836671	1	106	106
4836769	4836879	1	107	107
4976056	4977593	1	108	108
4977680	4977755	1	109	109
4977951	4980852	1	110	110
4980950	4981060	1	111	111
4984531	4984606	1	112	112
4984615	4984699	1	113	113
4984816	4984890	1	114	114
4984897	4984972	1	115	115
5017082	5018619	1	116	116
5018706	5018781	1	117	117
5018977	5021878	1	118	118
5021976	5022086	1	119	119
5217128	5217203	2	120	120
5246211	5246286	1	121	121
5246323	5246398	1	122	122
5246434	5246509	1	123	123
5347125	5347209	1	124	124
5464565	5464651	2	125	125
