126
rna-ECs_R0001	227105	228642	228642	1	1	0	0
rna-ECs_R0024	228712	228788	228642	1	1	1	1
rna-ECs_R0025	228831	228906	228788	1	1	2	2
rna-ECs_R0002	229092	231991	228906	1	1	3	3
rna-ECs_R0003	232089	232199	231991	1	1	4	4
rna-ECs_R0026	232257	232333	232199	1	1	5	5
rna-ECs_R0027	240481	240557	232333	1	1	6	6
rna-ECs_R0028	299982	300057	240557	1	1	7	7
rna-ECs_R0030	657182	657258	300057	1	1	8	8
rna-ECs_R0031	776591	776665	657258	2	1	9	9
rna-ECs_R0032	776703	776777	776665	2	1	10	10
rna-ECs_R0033	776826	776902	776777	2	1	11	11
rna-ECs_R0034	776918	776992	776902	2	1	12	12
rna-ECs_R0035	777027	777101	776992	2	1	13	13
rna-ECs_R0036	777125	777209	777101	2	1	14	14
rna-ECs_R0037	777220	777296	777209	2	1	15	15
rna-ECs_R0038	864979	865054	777296	1	1	16	16
rna-ECs_R0039	865090	865165	865054	1	1	17	17
rna-ECs_R0040	865168	865243	865165	1	1	18	18
rna-ECs_R0041	865295	865370	865243	1	1	19	19
rna-ECs_R0042	865374	865449	865370	1	1	20	20
rna-ECs_R0043	865596	865671	865449	1	1	21	21
rna-ECs_R0044	1056961	1057048	865671	2	1	22	22
rna-ECs_R0045	1179418	1179493	1057048	1	1	23	23
rna-ECs_R0046	1179501	1179577	1179493	1	1	24	24
rna-ECs_R0047	1179591	1179667	1179577	1	1	25	25
rna-ECs_R0048	1210887	1210974	1179667	2	1	26	26
rna-ECs_R0049	1266764	1266839	1210974	1	1	27	27
rna-ECs_R0050	1266849	1266925	1266839	1	1	28	28
rna-ECs_R0051	1266939	1267015	1266925	1	1	29	29
rna-ECs_R0052	1456845	1456932	1267015	2	1	30	30
rna-ECs_R0053	1732425	1732509	1456932	2	1	31	31
rna-ECs_R0054	1732719	1732803	1732509	2	1	32	32
rna-ECs_R0055	1774078	1774153	1732803	1	1	33	33
rna-ECs_R0056	1774234	1774310	1774153	1	1	34	34
rna-ECs_R0057	1940704	1940779	1774310	1	1	35	35
rna-ECs_R0058	1940880	1940956	1940779	1	1	36	36
rna-ECs_R0059	2189650	2189726	1940956	2	1	37	37
rna-ECs_R0060	2189827	2189902	2189726	2	1	38	38
rna-ECs_R0061	2240621	2240697	2189902	2	1	39	39
rna-ECs_R0062	2240711	2240787	2240697	2	1	40	40
rna-ECs_R0063	2240795	2240870	2240787	2	1	41	41
rna-ECs_R0064	2346282	2346358	2240870	1	1	42	42
rna-ECs_R0065	2346363	2346439	2346358	1	1	43	43
rna-ECs_R0066	2614223	2614309	2346439	2	1	44	44
rna-ECs_R0067	2614322	2614395	2614309	2	1	45	45
rna-ECs_R0068	2614449	2614524	2614395	2	1	46	46
rna-ECs_R0069	2697892	2697968	2614524	2	1	47	47
rna-ECs_R0070	2697982	2698058	2697968	2	1	48	48
rna-ECs_R0071	2698066	2698141	2698058	2	1	49	49
rna-ECs_R0072	2712171	2712260	2698141	2	1	50	50
rna-ECs_R0073	2713252	2713327	2712260	1	1	51	51
rna-ECs_R0074	2727633	2727708	2713327	2	1	52	52
rna-ECs_R0075	2729457	2729532	2727708	1	1	53	53
rna-ECs_R0076	2731865	2731940	2729532	1	1	54	54
rna-ECs_R0077	3021275	3021351	2731940	1	1	55	55
rna-ECs_R0078	3193041	3193115	3021351	1	1	56	56
rna-ECs_R0079	3244957	3245032	3193115	2	1	57	57
rna-ECs_R0080	3245072	3245147	3245032	2	1	58	58
rna-ECs_R0081	3249594	3249669	3245147	1	1	59	59
