126
0	1537	0
0	76	0
0	75	0
0	2899	0
0	110	0
0	76	0
0	76	0
0	75	0
0	76	0
0	74	0
0	74	0
0	76	0
0	74	0
0	74	0
0	84	0
0	76	0
0	75	0
0	75	0
0	75	0
0	75	0
0	75	0
0	75	0
0	87	0
0	75	0
0	76	0
0	76	0
0	87	0
0	75	0
0	76	0
0	76	0
0	87	0
0	84	0
0	84	0
0	75	0
0	76	0
0	75	0
0	76	0
0	76	0
0	75	0
0	76	0
0	76	0
0	75	0
0	76	0
0	76	0
0	86	0
0	73	0
0	75	0
0	76	0
0	76	0
0	75	0
0	89	0
0	75	0
0	75	0
0	75	0
0	75	0
0	76	0
0	74	0
0	75	0
0	75	0
0	75	0
0	75	0
0	75	0
0	75	0
0	110	0
0	2899	0
0	75	0
0	1537	0
0	362	0
0	75	0
0	76	0
0	76	0
0	76	0
0	76	0
0	92	0
0	76	0
0	76	0
0	76	0
0	73	0
0	75	0
0	75	0
0	76	0
0	86	0
0	110	0
0	75	0
0	110	0
0	2899	0
0	75	0
0	76	0
0	1537	0
0	76	0
0	94	0
0	1537	0
0	75	0
0	2901	0
0	110	0
0	76	0
0	75	0
0	76	0
0	75	0
0	86	0
0	74	0
0	86	0
0	76	0
0	1537	0
0	76	0
0	75	0
0	2901	0
0	110	0
0	1537	0
0	75	0
0	2901	0
0	110	0
0	75	0
0	84	0
0	74	0
0	75	0
0	1537	0
0	75	0
0	2901	0
0	110	0
0	75	0
0	75	0
0	75	0
0	75	0
0	84	0
0	86	0
